DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200131,74690601,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200131,74690601,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20200131,99B1QH01,20966,PEN DRIVE 32GB PD589 TWIST PRETO             
20200130,9O04CW01,26548,SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    
20200130,72695001,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200129,99BKT101,25481,SMARTPHONE LG K9 TV LM-X210BMW DOURADO       
20200129,35368701,25581,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB VERMELHO 
20200128,9OGROI01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200128,92221101,21855,CELULAR BLU JENNY 2.8 T276 DB PRETO-VERMEL   
20200127,99LPBO01,14537,PEN DRIVE 16GB PD588 TWIST PRETO             
20200127,99LPBO01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200127,91354601,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200127,9OJAL601,21855,CELULAR BLU JENNY 2.8 T276 DB PRETO-VERMEL   
20200127,9O4K3U01,23375,"TELEVISOR SMART 40"" KDL-40W655D SONY         "
20200126,9OQ4KT01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200123,99ING401,26432,AUTO RADIO AR-06 PRETO                       
20200122,83292601,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200122,99PKB701,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200122,99PKB701,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200121,9OAX6D01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200121,84868001,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200121,9NZ9PC01,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200120,99PPKF01,25981,SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  
20200120,92221101,21823,PEN DRIVE SONY R 8GB USMRGR                  
20200118,99G8ZY01,26247,SMARTPHONE LG K8 PLUS PRETO                  
20200118,9OG9KT01,25983,SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH
20200117,9OG9KT01,25983,SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH
20200117,9OOX3Q01,26003,SMARTPHONE SAMSUNG GAL A20  A205 32GB PRETO  
20200117,9OOX3Q01,26004,SMARTPHONE SAMSUNG GAL A20  A205 32GB AZUL   
20200117,99PSYK01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200117,99PSYK01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200117,33694401,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200116,67709801,26014,SMARTPHONE SAMSUNG GAL A50  A505 64GB AZUL   
20200116,60307801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200115,9OM83X01,14537,PEN DRIVE 16GB PD588 TWIST PRETO             
20200115,9OM83X01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200115,9OGROI01,25545,"TELEVISOR SMART 40"" TC40FS600B PANASONIC     "
20200115,86044001,20966,PEN DRIVE 32GB PD589 TWIST PRETO             
20200114,9O3HY201,25582,SMARTPHONE LG K11 PLUS DB DOURADO            
20200114,75704801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200114,9O7Y3X01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200114,99EBBH01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200113,99KKM901,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200113,99PXGH01,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200113,99PXGH01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200113,99EOZ601,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200113,55752401,26003,SMARTPHONE SAMSUNG GAL A20  A205 32GB PRETO  
20200113,64196501,25193,SMARTPHONE SAMSUNG GAL J6 32GB PRATA         
20200111,9ODTJW01,25435,TABLET NB732 MINI MS50X PRETO                
20200111,99ELCU01,26432,AUTO RADIO AR-06 PRETO                       
20200111,99EGAQ01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200111,99EGAQ01,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20200111,97074301,26177,TABLET NB720 MINI MS45 4G PRETO              
20200110,99AY4F01,20966,PEN DRIVE 32GB PD589 TWIST PRETO             
20200110,49540201,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200110,49540201,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20200110,11972601,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20200110,12343301,22218,CONJ.SC-AKX220LBK PANASONIC                  
20200109,60307801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200109,99N7D301,26578,SMARTPHONE MOTOROLA MOTO E6 PLUS 64GB AZ NET 
20200109,9O42GA01,26582,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB VERM   
20200109,9OGL3J01,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200108,9O2ENM01,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200108,99PXGH01,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200108,99PXGH01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200108,15579301,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200107,9O7Y3X01,26222,CELULAR INFINITY W201 PRETO                  
20200107,61762601,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
20200106,64196801,26222,CELULAR INFINITY W201 PRETO                  
20200106,9O6VYJ01,23447,REPETIDOR RE051 300MPS WPS MULTILASER        
20200106,9O6VYJ01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
